#entry	protocol	version	Nmodel	pLDDT	pTMScore	ipTMScore	CombinedScore	Length
1_5V1U	mixed_ali-delim-delim	1	3	91.4	0.856	0.783	0.798	108
1_5V1U	mixed_ali-delim-delim	1	4	92.1	0.858	0.788	0.802	108
1_5V1U	mixed_ali-delim-delim	1	5	92.7	0.862	0.802	0.814	108
1_5V1U	mixed_ali-delim-delim	1	1	92.2	0.856	0.787	0.801	108
1_5V1U	mixed_ali-delim-delim	1	2	92.1	0.86	0.796	0.809	108
1_5V1U	mixed_ali-fl-fl	1	3	68.5	0.654	0.761	0.740	153
1_5V1U	mixed_ali-fl-fl	1	4	69.2	0.649	0.8	0.770	153
1_5V1U	mixed_ali-fl-fl	1	5	71.2	0.673	0.824	0.794	153
1_5V1U	mixed_ali-fl-fl	1	1	67.7	0.628	0.777	0.747	153
1_5V1U	mixed_ali-fl-fl	1	2	70.4	0.681	0.837	0.806	153
1_5V1U	mixed_ali-delim-fl	1	3	67.2	0.631	0.75	0.726	153
1_5V1U	mixed_ali-delim-fl	1	4	69.4	0.632	0.784	0.754	153
1_5V1U	mixed_ali-delim-fl	1	5	70.4	0.659	0.825	0.792	153
1_5V1U	mixed_ali-delim-fl	1	1	68.8	0.632	0.798	0.765	153
1_5V1U	mixed_ali-delim-fl	1	2	69.9	0.671	0.816	0.787	153
1_5V1U	mixed_ali-delim-100	1	3	67,	0.629	0.758	0.732	153
1_5V1U	mixed_ali-delim-100	1	4	69,	0.639	0.789	0.759	153
1_5V1U	mixed_ali-delim-100	1	5	70.4	0.662	0.834	0.800	153
1_5V1U	mixed_ali-delim-100	1	1	69.9	0.635	0.814	0.778	153
1_5V1U	mixed_ali-delim-100	1	2	69.8	0.66	0.835	0.800	153
1_5V1U	mixed_ali-delim-200	1	3	67.5	0.644	0.744	0.724	153
1_5V1U	mixed_ali-delim-200	1	4	68.8	0.639	0.785	0.756	153
1_5V1U	mixed_ali-delim-200	1	5	70.1	0.664	0.816	0.786	153
1_5V1U	mixed_ali-delim-200	1	1	67.2	0.628	0.769	0.741	153
1_5V1U	mixed_ali-delim-200	1	2	69.6	0.667	0.824	0.793	153
1_5V1U	unpaired_ali-delim-delim	1	3	91.5	0.857	0.777	0.793	108
1_5V1U	unpaired_ali-delim-delim	1	4	92.2	0.859	0.789	0.803	108
1_5V1U	unpaired_ali-delim-delim	1	5	92.9	0.865	0.806	0.818	108
1_5V1U	unpaired_ali-delim-delim	1	1	92.4	0.86	0.786	0.801	108
1_5V1U	unpaired_ali-delim-delim	1	2	92.4	0.863	0.796	0.809	108
1_5V1U	unpaired_ali-delim-fl	1	3	68,	0.651	0.762	0.740	153
1_5V1U	unpaired_ali-delim-fl	1	4	68.8	0.648	0.795	0.766	153
1_5V1U	unpaired_ali-delim-fl	1	5	70.3	0.661	0.823	0.791	153
1_5V1U	unpaired_ali-delim-fl	1	1	68.6	0.637	0.807	0.773	153
1_5V1U	unpaired_ali-delim-fl	1	2	69.9	0.669	0.82	0.790	153
1_5V1U	single_pep-delim-delim	1	3	91.5	0.856	0.779	0.794	108
1_5V1U	single_pep-delim-delim	1	4	91.9	0.855	0.786	0.800	108
1_5V1U	single_pep-delim-delim	1	5	92.8	0.864	0.802	0.814	108
1_5V1U	single_pep-delim-delim	1	1	91.7	0.852	0.778	0.793	108
1_5V1U	single_pep-delim-delim	1	2	92.3	0.862	0.793	0.807	108
1_5V1U	single_pep-delim-100	1	3	69.1	0.609	0.747	0.719	153
1_5V1U	single_pep-delim-100	1	4	67.2	0.61	0.749	0.721	153
1_5V1U	single_pep-delim-100	1	5	69.7	0.636	0.806	0.772	153
1_5V1U	single_pep-delim-100	1	1	67.5	0.609	0.712	0.691	153
1_5V1U	single_pep-delim-100	1	2	68.7	0.626	0.788	0.756	153
1_5V1U	single_pep-delim-200	1	3	68.9	0.607	0.74	0.713	153
1_5V1U	single_pep-delim-200	1	4	67.5	0.608	0.748	0.720	153
1_5V1U	single_pep-delim-200	1	5	70,	0.638	0.809	0.775	153
1_5V1U	single_pep-delim-200	1	1	68.3	0.61	0.721	0.699	153
1_5V1U	single_pep-delim-200	1	2	69.3	0.636	0.788	0.758	153
1_5V1U	mixed_ali-delim-delim	2	3	91.2	0.854	0.771	0.788	108
1_5V1U	mixed_ali-delim-delim	2	4	92.2	0.859	0.793	0.806	108
1_5V1U	mixed_ali-delim-delim	2	5	92.7	0.863	0.802	0.814	108
1_5V1U	mixed_ali-delim-delim	2	1	92.2	0.858	0.787	0.801	108
1_5V1U	mixed_ali-delim-delim	2	2	92.5	0.865	0.801	0.814	108
1_5V1U	mixed_ali-fl-fl	2	3	66.9	0.612	0.728	0.705	153
1_5V1U	mixed_ali-fl-fl	2	4	68.7	0.616	0.769	0.738	153
1_5V1U	mixed_ali-fl-fl	2	5	70.4	0.637	0.823	0.786	153
1_5V1U	mixed_ali-fl-fl	2	1	67.4	0.604	0.716	0.694	153
1_5V1U	mixed_ali-fl-fl	2	2	70.2	0.673	0.81	0.783	153
1_5V1U	mixed_ali-delim-fl	2	3	66.7	0.628	0.749	0.725	153
1_5V1U	mixed_ali-delim-fl	2	4	68.7	0.627	0.779	0.749	153
1_5V1U	mixed_ali-delim-fl	2	5	69.6	0.642	0.809	0.776	153
1_5V1U	mixed_ali-delim-fl	2	1	69.3	0.627	0.794	0.761	153
1_5V1U	mixed_ali-delim-fl	2	2	69.5	0.661	0.818	0.787	153
1_5V1U	mixed_ali-delim-100	2	3	67,	0.638	0.748	0.726	153
1_5V1U	mixed_ali-delim-100	2	4	68.3	0.634	0.79	0.759	153
1_5V1U	mixed_ali-delim-100	2	5	70.3	0.662	0.824	0.792	153
1_5V1U	mixed_ali-delim-100	2	1	68.2	0.635	0.793	0.761	153
1_5V1U	mixed_ali-delim-100	2	2	70.4	0.678	0.833	0.802	153
1_5V1U	mixed_ali-delim-200	2	3	67.9	0.612	0.734	0.710	153
1_5V1U	mixed_ali-delim-200	2	4	69.1	0.617	0.766	0.736	153
1_5V1U	mixed_ali-delim-200	2	5	70.7	0.644	0.827	0.790	153
1_5V1U	mixed_ali-delim-200	2	1	68.4	0.605	0.748	0.719	153
1_5V1U	mixed_ali-delim-200	2	2	69,	0.647	0.817	0.783	153
1_5V1U	unpaired_ali-delim-delim	2	3	92.2	0.866	0.791	0.806	108
